Package,LibPath,Version,Priority,Built
acepack,C:/Users/david.grinder/Documents/R/win-library/3.4,1.4.1,NA,3.4.1
assertr,C:/Users/david.grinder/Documents/R/win-library/3.4,2.0.2.2,NA,3.4.1
assertthat,C:/Users/david.grinder/Documents/R/win-library/3.4,0.2.0,NA,3.4.1
backports,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.0,NA,3.4.1
base64enc,C:/Users/david.grinder/Documents/R/win-library/3.4,0.1-3,NA,3.4.1
BH,C:/Users/david.grinder/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
bindr,C:/Users/david.grinder/Documents/R/win-library/3.4,0.1,NA,3.4.1
bindrcpp,C:/Users/david.grinder/Documents/R/win-library/3.4,0.2,NA,3.4.1
bit,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1-12,NA,3.4.1
bit64,C:/Users/david.grinder/Documents/R/win-library/3.4,0.9-7,NA,3.4.1
bitops,C:/Users/david.grinder/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
blob,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.0,NA,3.4.1
broom,C:/Users/david.grinder/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
caTools,C:/Users/david.grinder/Documents/R/win-library/3.4,1.17.1,NA,3.4.2
cellranger,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
checkmate,C:/Users/david.grinder/Documents/R/win-library/3.4,1.8.3,NA,3.4.1
chron,C:/Users/david.grinder/Documents/R/win-library/3.4,2.3-50,NA,3.4.1
cli,C:/Users/david.grinder/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
clipr,C:/Users/david.grinder/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
clisymbols,C:/Users/david.grinder/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
colorspace,C:/Users/david.grinder/Documents/R/win-library/3.4,1.3-2,NA,3.4.1
crayon,C:/Users/david.grinder/Documents/R/win-library/3.4,1.3.4,NA,3.4.3
curl,C:/Users/david.grinder/Documents/R/win-library/3.4,2.8.1,NA,3.4.1
data.table,C:/Users/david.grinder/Documents/R/win-library/3.4,1.10.4,NA,3.4.0
DBI,C:/Users/david.grinder/Documents/R/win-library/3.4,0.7,NA,3.4.1
dbplyr,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.0,NA,3.4.1
debugme,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
desc,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
devtools,C:/Users/david.grinder/Documents/R/win-library/3.4,1.13.3,NA,3.4.1
dichromat,C:/Users/david.grinder/Documents/R/win-library/3.4,2.0-0,NA,3.4.1
digest,C:/Users/david.grinder/Documents/R/win-library/3.4,0.6.12,NA,3.4.1
dplyr,C:/Users/david.grinder/Documents/R/win-library/3.4,0.7.4,NA,3.4.3
DT,C:/Users/david.grinder/Documents/R/win-library/3.4,0.2,NA,3.4.1
dygraphs,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.1.4,NA,3.4.1
enc,C:/Users/david.grinder/Documents/R/win-library/3.4,0.1,NA,3.4.3
ensurer,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1,NA,3.4.1
evaluate,C:/Users/david.grinder/Documents/R/win-library/3.4,0.10.1,NA,3.4.1
forcats,C:/Users/david.grinder/Documents/R/win-library/3.4,0.2.0,NA,3.4.3
formatR,C:/Users/david.grinder/Documents/R/win-library/3.4,1.5,NA,3.4.2
Formula,C:/Users/david.grinder/Documents/R/win-library/3.4,1.2-2,NA,3.4.1
fs,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
gbm,C:/Users/david.grinder/Documents/R/win-library/3.4,2.1.3,NA,3.4.1
ggplot2,C:/Users/david.grinder/Documents/R/win-library/3.4,2.2.1,NA,3.4.3
gh,C:/Users/david.grinder/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
git2r,C:/Users/david.grinder/Documents/R/win-library/3.4,0.19.0,NA,3.4.1
glue,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.1,NA,3.4.1
gridExtra,C:/Users/david.grinder/Documents/R/win-library/3.4,2.3,NA,3.4.2
gtable,C:/Users/david.grinder/Documents/R/win-library/3.4,0.2.0,NA,3.4.1
haven,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
here,C:/Users/david.grinder/Documents/R/win-library/3.4,0.1,NA,3.4.3
highr,C:/Users/david.grinder/Documents/R/win-library/3.4,0.6,NA,3.4.1
Hmisc,C:/Users/david.grinder/Documents/R/win-library/3.4,4.0-3,NA,3.4.2
hms,C:/Users/david.grinder/Documents/R/win-library/3.4,0.3,NA,3.4.1
htmlTable,C:/Users/david.grinder/Documents/R/win-library/3.4,1.9,NA,3.4.1
htmltools,C:/Users/david.grinder/Documents/R/win-library/3.4,0.3.6,NA,3.4.1
htmlwidgets,C:/Users/david.grinder/Documents/R/win-library/3.4,0.9,NA,3.4.1
httpuv,C:/Users/david.grinder/Documents/R/win-library/3.4,1.3.5,NA,3.4.1
httr,C:/Users/david.grinder/Documents/R/win-library/3.4,1.3.1,NA,3.4.1
ini,C:/Users/david.grinder/Documents/R/win-library/3.4,0.3.0,NA,3.4.3
jsonlite,C:/Users/david.grinder/Documents/R/win-library/3.4,1.5,NA,3.4.1
knitr,C:/Users/david.grinder/Documents/R/win-library/3.4,1.17,NA,3.4.1
labeling,C:/Users/david.grinder/Documents/R/win-library/3.4,0.3,NA,3.4.1
lattice,C:/Users/david.grinder/Documents/R/win-library/3.4,0.20-35,recommended,3.4.1
latticeExtra,C:/Users/david.grinder/Documents/R/win-library/3.4,0.6-28,NA,3.4.1
lazyeval,C:/Users/david.grinder/Documents/R/win-library/3.4,0.2.0,NA,3.4.1
lme4,C:/Users/david.grinder/Documents/R/win-library/3.4,1.1-13,NA,3.4.1
lmtest,C:/Users/david.grinder/Documents/R/win-library/3.4,0.9-35,NA,3.4.3
lubridate,C:/Users/david.grinder/Documents/R/win-library/3.4,1.7.1,NA,3.4.3
